,param,seed,alpha,df,asymmetry,straightness,gaussianity,efficiency,mod_int
317,0.1,634635,0.06,2.96,0.0411,0.0011,77.2695,0.0,0
318,0.1,636637,0.09,3.13,0.0064,0.0041,80.0195,0.0,0
319,0.1,638639,0.15,3.08,0.0138,0.0029,84.4618,0.0,0
320,0.1,640641,0.21,3.29,0.0298,0.0041,72.2312,0.0,0
321,0.1,642643,0.07,3.3,0.0142,0.0049,72.9289,0.0,0
322,0.1,644645,0.12,3.03,0.0028,0.0042,92.1848,0.0,0
323,0.1,646647,-0.09,2.88,0.0083,0.001,66.6532,0.0,0
324,0.1,648649,0.17,3.26,0.0124,0.0029,72.7762,0.0,0
325,0.1,650651,0.1,3.3,0.0473,0.0072,70.8045,0.0,0
326,0.1,652653,0.19,3.12,0.0183,0.0038,77.0419,0.0,0
327,0.1,654655,0.14,3.12,0.0081,0.004,67.13,0.0,0
328,0.1,656657,0.19,3.0,0.019,0.0042,98.4844,0.0,0
329,0.1,658659,0.17,3.23,0.0357,0.0062,62.3686,0.0,0
330,0.1,660661,0.1,3.17,0.0416,0.0039,68.5801,0.0,0
331,0.1,662663,0.09,3.15,0.0097,0.002,68.7907,0.0,0
332,0.1,664665,0.08,3.49,0.0335,0.0014,74.2699,0.0,0
333,0.1,666667,0.08,3.05,0.0047,0.0065,82.7242,0.0,0
334,0.1,668669,0.11,3.22,0.0255,0.0004,64.2071,0.0,0
335,0.1,670671,0.03,3.19,0.0046,0.0024,71.0078,0.0,0
336,0.1,672673,0.15,3.07,0.039,0.0025,66.4822,0.0,0
337,0.1,674675,0.1,3.28,0.0032,0.0032,70.7059,0.0,0
338,0.1,676677,0.17,3.15,0.0285,0.0009,87.5312,0.0,0
339,0.1,678679,0.11,3.21,0.0289,0.0036,79.5987,0.0,0
340,0.1,680681,0.1,3.27,0.0098,0.0013,71.6057,0.0,0
341,0.1,682683,0.15,3.12,0.0532,0.0021,71.5283,0.0,0
342,0.1,684685,0.03,2.9,0.0321,0.0018,74.9703,0.0,0
343,0.1,686687,0.13,3.28,0.0019,0.0024,84.9622,0.0,0
344,0.1,688689,0.08,3.15,0.0333,0.0048,68.163,0.0,0
345,0.1,690691,0.08,3.24,0.0362,0.0027,87.1032,0.0,0
346,0.1,692693,0.04,3.22,0.0697,0.0033,74.7936,0.0,0
347,0.1,694695,0.04,3.14,0.0053,0.0024,64.7298,0.0,0
348,0.1,696697,0.08,3.03,0.0038,0.0012,87.2662,0.0,0
349,0.1,698699,0.01,3.09,0.0665,0.0013,78.417,0.0,0
350,0.1,700701,-0.04,3.16,0.0006,0.001,82.5751,0.0,0
351,0.1,702703,0.1,3.08,0.0159,0.0021,69.0778,0.0,0
352,0.1,704705,0.02,3.25,0.0689,0.0031,89.1378,0.0,0
353,0.1,706707,0.08,3.33,0.0568,0.0018,67.503,0.0,0
354,0.1,708709,0.12,3.23,0.002,0.0046,85.4608,0.0,0
355,0.1,710711,0.14,3.27,0.048,0.0011,76.9601,0.0,0
356,0.1,712713,0.14,3.06,0.0072,0.0039,77.4656,0.0,0
357,0.1,714715,0.07,3.35,0.0734,0.003,70.4752,0.0,0
358,0.1,716717,0.13,3.03,0.0078,0.0006,76.3691,0.0,0
